[Tue Sep 15 11:20:32.221997 2015] [authz_core:error] [pid 3230:tid 3062889280] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/index.php
[Tue Sep 15 11:20:33.057004 2015] [authz_core:error] [pid 3230:tid 3054496576] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/index.php
[Tue Sep 15 11:20:33.510099 2015] [authz_core:error] [pid 3230:tid 3046103872] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/index.php
[Tue Sep 15 11:20:38.194339 2015] [authz_core:error] [pid 3230:tid 3037711168] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:20:39.616765 2015] [authz_core:error] [pid 3230:tid 3029318464] [client 127.0.0.1:47107] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:23:15.174982 2015] [authz_core:error] [pid 3323:tid 3020925760] [client 127.0.0.1:47204] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:23:15.959880 2015] [authz_core:error] [pid 3323:tid 3012533056] [client 127.0.0.1:47204] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:23:16.566586 2015] [authz_core:error] [pid 3323:tid 3004140352] [client 127.0.0.1:47204] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Tue Sep 15 11:23:17.263846 2015] [authz_core:error] [pid 3323:tid 2995747648] [client 127.0.0.1:47204] AH01630: client denied by server configuration: /home/doctor_lapt/Sites/MyBlog/
[Wed Sep 16 17:16:53.623781 2015] [:error] [pid 5587] [client 127.0.0.1:41524] PHP Notice:  Undefined variable: dbHost in /home/doctor_lapt/Sites/MyBlog/index.php on line 20
[Wed Sep 16 17:54:40.687848 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Notice:  Undefined variable: dbHost in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:54:40.687942 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Notice:  Undefined variable: dbAdminLog in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:54:40.687960 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Notice:  Undefined variable: dbAdminPas in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:54:40.688011 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:54:40.733700 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Warning:  mysql_connect(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 9
[Wed Sep 16 17:54:40.733784 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Notice:  Undefined variable: dbName in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Wed Sep 16 17:54:40.733814 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Warning:  mysql_select_db() expects parameter 2 to be resource, boolean given in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 10
[Wed Sep 16 17:54:40.733842 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Deprecated:  mysql_query(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Wed Sep 16 17:54:40.734317 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Warning:  mysql_query(): Access denied for user 'www-data'@'localhost' (using password: NO) in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
[Wed Sep 16 17:54:40.734353 2015] [:error] [pid 5586] [client 127.0.0.1:41658] PHP Warning:  mysql_query(): A link to the server could not be established in /home/doctor_lapt/Sites/MyBlog/MySqlInterface.php on line 11
